ticker,name,market,benchmark_ticker,financial_sector_neutral,raw_source_mode,audit_status,candidate_count,approved_exact_count,approved_exact_ids,candidate_account_ids,candidate_account_names
000640,동아쏘시오홀딩스,KOSPI,1021,TRUE,DIRECT,FINANCIAL_SECTOR_NEUTRAL,0,0,,,
000650,천일고속,KOSPI,1019,FALSE,DIRECT,APPROVED_EXACT_READY,2,1,ifrs-full_AdjustmentsForDepreciationExpense,-표준계정코드 미사용-|ifrs-full_AdjustmentsForDepreciationExpense,감가상각비|사용권자산감가상각비
000810,삼성화재,KOSPI,1025,TRUE,UNAVAILABLE,FINANCIAL_SECTOR_NEUTRAL,0,0,,,
001020,페이퍼코리아,KOSPI,1007,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
001045,CJ우,KOSPI,1021,TRUE,UNAVAILABLE,FINANCIAL_SECTOR_NEUTRAL,0,0,,,
001060,JW중외제약,KOSPI,1009,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
001420,태원물산,KOSPI,1015,FALSE,DIRECT,APPROVED_EXACT_READY,1,1,ifrs-full_AdjustmentsForDepreciationExpense,ifrs-full_AdjustmentsForDepreciationExpense,감가상각비에 대한 조정
001440,대한전선,KOSPI,1013,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
001527,동양2우B,KOSPI,1010,FALSE,UNAVAILABLE,RAW_SOURCE_UNAVAILABLE,0,0,,,
001530,DI동일,KOSPI,1016,FALSE,UNAVAILABLE,RAW_SOURCE_UNAVAILABLE,0,0,,,
001560,제일연마,KOSPI,1010,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
001770,SHD,KOSPI,1011,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
002210,동성제약,KOSPI,1009,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
002380,KCC,KOSPI,1008,FALSE,UNAVAILABLE,RAW_SOURCE_UNAVAILABLE,0,0,,,
002420,우양피앤엘,KOSPI,1016,FALSE,DIRECT,APPROVED_EXACT_READY,1,1,ifrs-full_AdjustmentsForDepreciationExpense,ifrs-full_AdjustmentsForDepreciationExpense,감가상각비에 대한 조정
002450,삼익악기,KOSPI,1027,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
002990,금호건설,KOSPI,1018,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
003230,삼양식품,KOSPI,1005,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
003280,흥아해운,KOSPI,1019,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
003490,대한항공,KOSPI,1019,FALSE,DIRECT,APPROVED_EXACT_READY,2,2,ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,감가상각비|무형자산상각비
003495,대한항공우,KOSPI,1019,FALSE,PREFERRED_COMMON:003490,APPROVED_EXACT_READY,2,2,ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,감가상각비|무형자산상각비
003550,LG,KOSPI,1021,TRUE,DIRECT,FINANCIAL_SECTOR_NEUTRAL,2,2,ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,감가상각비|무형자산상각비
003580,HLB글로벌,KOSPI,1016,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
004170,신세계,KOSPI,1016,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
004370,농심,KOSPI,1005,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
004545,깨끗한나라우,KOSPI,1007,FALSE,UNAVAILABLE,RAW_SOURCE_UNAVAILABLE,0,0,,,
004870,티웨이홀딩스,KOSPI,1010,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
004910,조광페인트,KOSPI,1008,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
005385,현대차우,KOSPI,1015,FALSE,UNAVAILABLE,RAW_SOURCE_UNAVAILABLE,0,0,,,
005387,현대차2우B,KOSPI,1015,FALSE,UNAVAILABLE,RAW_SOURCE_UNAVAILABLE,0,0,,,
005389,현대차3우B,KOSPI,1015,FALSE,UNAVAILABLE,RAW_SOURCE_UNAVAILABLE,0,0,,,
