ticker,name,market,net_income,previous_net_income,stored_earnings_trend,expected_net_income_trend,trend_comparable,trend_mismatch,per_annualized,valuation_data_status,baseline_score_status,shadow_score_status,baseline_score_total,shadow_score_total,baseline_missing_components,shadow_missing_components,single_per_blocker_target
000640,동아쏘시오홀딩스,KOSPI,49401058384.0,55993556718.0,흑자지속,흑자지속,TRUE,FALSE,6.18,READY,READY,READY,66.5,66.5,,,FALSE
000650,천일고속,KOSPI,-3100657591.0,-1094986591.0,적자지속,적자지속,TRUE,FALSE,,PARTIAL_LOSS_PER_NA,LIMITED,LIMITED,,,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,FALSE
000810,삼성화재,KOSPI,1373953295615.0,1247409503392.0,흑자지속,흑자지속,TRUE,FALSE,10.17,READY,LIMITED,LIMITED,,,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,FALSE
001020,페이퍼코리아,KOSPI,1947557004.0,-5678908366.0,흑자전환,흑자전환,TRUE,FALSE,20.47,READY,LIMITED,LIMITED,,,과열·급락 위험:MISSING_RISK_INPUT;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,과열·급락 위험:MISSING_RISK_INPUT;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,FALSE
001045,CJ우,KOSPI,,,,,FALSE,FALSE,,LIMITED_NO_FINANCIAL_DATA,LIMITED,LIMITED,,,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,FALSE
001060,JW중외제약,KOSPI,55375042222.0,15605163346.0,흑자지속,흑자지속,TRUE,FALSE,5.59,READY,READY,READY,75.5,75.5,,,FALSE
001420,태원물산,KOSPI,-357281077.0,304999604.0,적자지속,적자전환,TRUE,TRUE,,PARTIAL_LOSS_PER_NA,LIMITED,LIMITED,,,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,FALSE
001440,대한전선,KOSPI,-95023703274.0,6341805493.0,흑자지속,적자전환,TRUE,TRUE,,PARTIAL_LOSS_PER_NA,LIMITED,LIMITED,,,PER:MISSING_PER;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,FALSE
001527,동양2우B,KOSPI,,,,,FALSE,FALSE,,LIMITED_NO_FINANCIAL_DATA,LIMITED,LIMITED,,,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;영업현금흐름:MISSING_OCF_MARGIN_INPUT;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;EV/EBITDA:EV_EBITDA_INPUT:NO_EXACT_CANDIDATE:NO_EXACT_CANDIDATE;PSR 또는 대체 가치지표:MISSING_PSR_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;순현금·기업가치 상태:NETCASH_INPUT:NO_EXACT_CANDIDATE;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;영업현금흐름:MISSING_OCF_MARGIN_INPUT;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;EV/EBITDA:EV_EBITDA_INPUT:NO_EXACT_CANDIDATE:NO_EXACT_CANDIDATE;PSR 또는 대체 가치지표:MISSING_PSR_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;순현금·기업가치 상태:NETCASH_INPUT:NO_EXACT_CANDIDATE;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,FALSE
001530,DI동일,KOSPI,,,,,FALSE,FALSE,,LIMITED_NO_FINANCIAL_DATA,LIMITED,LIMITED,,,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;영업현금흐름:MISSING_OCF_MARGIN_INPUT;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;EV/EBITDA:EV_EBITDA_INPUT:NO_EXACT_CANDIDATE:NO_EXACT_CANDIDATE;PSR 또는 대체 가치지표:MISSING_PSR_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;순현금·기업가치 상태:NETCASH_INPUT:NO_EXACT_CANDIDATE,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;영업현금흐름:MISSING_OCF_MARGIN_INPUT;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;EV/EBITDA:EV_EBITDA_INPUT:NO_EXACT_CANDIDATE:NO_EXACT_CANDIDATE;PSR 또는 대체 가치지표:MISSING_PSR_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;순현금·기업가치 상태:NETCASH_INPUT:NO_EXACT_CANDIDATE,FALSE
