ticker,name,market,financial_blocker_occurrences,financial_blocker_reasons,recovery_lane,recovery_note,financial_cache_row_present,raw_score_cache_row_present,corp_code,corp_name,corp_identity_status,corp_identity_reason,financial_source_status,financial_data_status,valuation_data_status,financial_basis,net_income,per_annualized
000050,경방,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
000105,유한양행우,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,PREFERRED_SHARE_NO_CORP_CODE,Official corpCode stock-code mapping has no separate preferred-share issuer row.,TRUE,FALSE,,,NO_CORP_CODE,OpenDART 기업코드 후보 없음,NO_CORP_CODE,LIMITED,LIMITED_NO_FINANCIAL_DATA,,,
001020,페이퍼코리아,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
001460,BYC,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
002450,삼익악기,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
002990,금호건설,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
002995,금호건설우,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,PREFERRED_SHARE_NO_CORP_CODE,Official corpCode stock-code mapping has no separate preferred-share issuer row.,TRUE,FALSE,,,NO_CORP_CODE,OpenDART 기업코드 후보 없음,NO_CORP_CODE,LIMITED,LIMITED_NO_FINANCIAL_DATA,,,
003060,에이프로젠바이오로직스,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
003480,한진중공업홀딩스,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
003850,보령,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
004990,롯데지주,KOSPI,7,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
006060,화승인더,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
006125,SK디스커버리우,KOSPI,7,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,PREFERRED_SHARE_NO_CORP_CODE,Official corpCode stock-code mapping has no separate preferred-share issuer row.,TRUE,FALSE,,,NO_CORP_CODE,OpenDART 기업코드 후보 없음,NO_CORP_CODE,LIMITED,LIMITED_NO_FINANCIAL_DATA,,,
006220,제주은행,KOSPI,7,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
008250,이건산업,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
010120,LS ELECTRIC,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CORP_IDENTITY_MISMATCH_REVIEW,Stock code candidate exists but company-name identity policy rejects the mapping.,TRUE,FALSE,,,MISMATCH,KRX 종목명=LS ELECTRIC; OpenDART 후보=엘에스일렉트릭,NO_CORP_CODE,LIMITED,LIMITED_NO_FINANCIAL_DATA,,,
011330,유니켐,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
013890,지누스,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
014825,동원시스템즈우,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
016590,신대양제지,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
023530,롯데쇼핑,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
024090,디씨엠,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
036580,팜스코,KOSPI,1,PER:MISSING_PER,INTENTIONAL_LOSS_PER_NA,Financial source is complete; PER is intentionally undefined for non-positive annualized earnings.,TRUE,TRUE,00260408,팜스코,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,OK,READY,PARTIAL_LOSS_PER_NA,2026 반기보고서,-12076031563.0,
